,pinyin,unicode
22,YE4,"['\\u4E1A', '\\u4EB1', '\\u505E', '\\u50F7', '\\u5558', '\\u58B7', '\\u591C', '\\u5DAA', '\\u5DAB', '\\u5FE6', '\\u62FD', '\\u6396', '\\u64DB', '\\u64EA', '\\u64EB', '\\u66C4', '\\u66C5', '\\u66D7', '\\u66F3', '\\u66F5', '\\u67BC', '\\u67BD', '\\u696A', '\\u696D', '\\u6B97', '\\u6B9C', '\\u6DB2', '\\u6FB2', '\\u70E8', '\\u7160', '\\u71C1', '\\u7217', '\\u76A3', '\\u77B1', '\\u77B8', '\\u8449', '\\u8B01', '\\u8B7A', '\\u8C12', '\\u90BA', '\\u9134', '\\u9371', '\\u9391', '\\u9437', '\\u9765', '\\u9768', '\\u9801', '\\u9875', '\\u9923', '\\u9941', '\\u998C', '\\u9A5C', '\\u9D7A', '\\u9E08']"
23,CONG2,"['\\u4E1B', '\\u4ECE', '\\u53E2', '\\u5A43', '\\u5B6E', '\\u5F93', '\\u5F96', '\\u5F9E', '\\u60B0', '\\u6152', '\\u6DD9', '\\u6F0E', '\\u6F40', '\\u7047', '\\u721C', '\\u742E', '\\u8AB4', '\\u8CE8', '\\u8CE9', '\\u931D']"
24,DONG1,"['\\u4E1C', '\\u5032', '\\u51AC', '\\u549A', '\\u57EC', '\\u5A3B', '\\u5CBD', '\\u5D20', '\\u5D2C', '\\u6638', '\\u6771', '\\u6C21', '\\u6C2D', '\\u6DB7', '\\u7B17', '\\u82F3', '\\u83C4', '\\u8740', '\\u9BDF', '\\u9D87', '\\u9E2B', '\\u9F15']"
25,SI1,"['\\u4E1D', '\\u5072', '\\u51D8', '\\u53AE', '\\u53B6', '\\u53F8', '\\u549D', '\\u5636', '\\u565D', '\\u5AA4', '\\u5EDD', '\\u601D', '\\u6495', '\\u65AF', '\\u6952', '\\u69B9', '\\u6CC0', '\\u6F8C', '\\u71CD', '\\u78C3', '\\u7997', '\\u79A0', '\\u79C1', '\\u7C1B', '\\u7C6D', '\\u7CF9', '\\u7D72', '\\u7DE6', '\\u7E9F', '\\u7F0C', '\\u7F73', '\\u856C', '\\u8652', '\\u86F3', '\\u8724', '\\u8784', '\\u87D6', '\\u87F4', '\\u8997', '\\u9270', '\\u92D6', '\\u9376', '\\u9401', '\\u98B8', '\\u98D4', '\\u9A26', '\\u9DE5', '\\u9E36']"
26,CHENG2,"['\\u4E1E', '\\u4E57', '\\u4E58', '\\u5448', '\\u57CE', '\\u57D5', '\\u5818', '\\u584D', '\\u5856', '\\u5A0D', '\\u5BAC', '\\u5CF8', '\\u60E9', '\\u6195', '\\u61F2', '\\u6210', '\\u627F', '\\u6330', '\\u6381', '\\u63E8', '\\u67A8', '\\u68D6', '\\u6909', '\\u6A59', '\\u6D06', '\\u6D48', '\\u6E5E', '\\u6F82', '\\u6F84', '\\u7013', '\\u73F5', '\\u73F9', '\\u7A0B', '\\u7A9A', '\\u7B6C', '\\u7D7E', '\\u8100', '\\u812D', '\\u837F', '\\u8670', '\\u88CE', '\\u8AA0', '\\u8BDA', '\\u90D5', '\\u9172', '\\u92EE', '\\u94D6', '\\u9A2C']"
27,DIU1,"['\\u4E1F', '\\u4E22', '\\u92A9', '\\u94E5']"
28,LIANG3,"['\\u4E21', '\\u4E24', '\\u5169', '\\u5521', '\\u5562', '\\u639A', '\\u7DC9', '\\u813C', '\\u873D', '\\u88F2', '\\u9B49', '\\u9B4E']"
29,YOU3,"['\\u4E23', '\\u5064', '\\u5363', '\\u53CB', '\\u5500', '\\u5CB0', '\\u5EAE', '\\u61EE', '\\u6709', '\\u682F', '\\u6884', '\\u69F1', '\\u6CD1', '\\u6E75', '\\u7256', '\\u7989', '\\u7F90', '\\u7F91', '\\u8048', '\\u82C3', '\\u83A0', '\\u86B4', '\\u870F', '\\u9149', '\\u92AA', '\\u94D5', '\\u9EDD']"
30,YAN2,"['\\u4E25', '\\u53B3', '\\u56B4', '\\u57CF', '\\u5869', '\\u58DB', '\\u58E7', '\\u598D', '\\u59F8', '\\u5A2B', '\\u5A2E', '\\u5B4D', '\\u5CA9', '\\u5D52', '\\u5D53', '\\u5DCC', '\\u5DD6', '\\u5DD7', '\\u5EF6', '\\u63C5', '\\u6616', '\\u694C', '\\u6A90', '\\u6AE9', '\\u6CBF', '\\u6E7A', '\\u708E', '\\u72FF', '\\u7402', '\\u76D0', '\\u7814', '\\u784F', '\\u789E', '\\u7939', '\\u7B75', '\\u7C37', '\\u7D96', '\\u839A', '\\u8455', '\\u8505', '\\u8664', '\\u8712', '\\u8A00', '\\u8A7D', '\\u8BA0', '\\u90D4', '\\u9206', '\\u9586', '\\u95BB', '\\u960E', '\\u9843', '\\u984F', '\\u9854', '\\u989C', '\\u9E7D', '\\u9E99', '\\u9EA3']"
31,BING4,"['\\u4E26', '\\u4F75', '\\u5002', '\\u50A1', '\\u5BCE', '\\u5E76', '\\u5E77', '\\u6452', '\\u6824', '\\u68C5', '\\u75C5', '\\u7ADD', '\\u9235', '\\u9750', '\\u9BA9']"
