,词语,数量
16056,得人心,2
16057,地府,2
16058,成天,2
16059,没办,2
16060,六天,2
16061,误事,2
16062,说来话长,2
16063,冷面,2
16064,非礼,2
16065,前两天,2
16066,共叙,2
16067,口上,2
16068,表妹,2
16069,娣,2
16070,有失,2
16071,收藏,2
16072,务要,2
16073,贾琏领,2
16074,外事,2
16075,斩钉截铁,2
16076,深念,2
16077,合体,2
16078,救命之恩,2
16079,称谢,2
16080,切不,2
16081,男家,2
16082,促,2
16083,弟妇,2
16084,要同,2
16085,肘,2
16086,威逼,2
16087,自寻短见,2
16088,寻短见,2
16089,相别,2
16090,稽首,2
16091,埋葬,2
16092,择吉,2
16093,酬谢,2
16094,柳二哥,2
16095,寺里,2
16096,惊怕,2
16097,两箱,2
16098,夹板,2
16099,虎丘,2
16100,金斗,2
16101,沙子,2
16102,触物伤情,2
16103,诊治,2
16104,愁烦,2
16105,血气,2
16106,提头,2
16107,谢谢,2
16108,三言两语,2
16109,有闲,2
16110,武艺,2
16111,岔道,2
16112,能带,2
16113,大户,2
16114,心生,2
16115,唧唧咕咕,2
16116,唧咕,2
16117,刚来,2
16118,夏末,2
16119,夏末秋,2
16120,秋初,2
16121,红绿,2
16122,闲来,2
16123,声息,2
16124,因袭,2
16125,那兴儿,2
16126,左右开弓,2
16127,开弓,2
16128,知多少,2
16129,讨饭,2
16130,无怨,2
16131,退到,2
16132,贾琏未,2
16133,确信,2
16134,东厢,2
16135,周瑞旺,2
16136,倾心,2
16137,倾心吐胆,2
16138,下礼,2
16139,眠花宿柳,2
16140,合心,2
16141,箱笼,2
16142,车赶,2
16143,烦琐,2
16144,有司,2
16145,张华便,2
16146,实有,2
16147,诬赖,2
16148,觌,2
16149,休书,2
16150,举手,2
16151,动地,2
16152,大放,2
16153,大放悲声,2
16154,撞头,2
16155,更怕,2
16156,讹诈,2
16157,陪送,2
16158,安家,2
16159,强娶,2
16160,贿,2
16161,交还,2
16162,批准,2
16163,某年某月,2
16164,某月,2
16165,某月某日,2
16166,占住,2
16167,翻案,2
16168,除根,2
16169,保住,2
16170,人命关天,2
16171,头领,2
16172,容颜,2
16173,岂容,2
16174,不轨,2
16175,烈火干柴,2
16176,干柴,2
16177,那秋桐,2
16178,做不来,2
16179,红红,2
16180,嫉妒,2
16181,看病,2
16182,魂飞天外,2
16183,血凝,2
16184,昏迷,2
16185,误用,2
16186,打卦,2
16187,哭骂,2
16188,棉花,2
16189,哭诉,2
16190,殃,2
16191,破土,2
16192,无话可说,2
16193,近岁,2
16194,二十五岁,2
16195,指配,2
16196,仲,2
16197,捡起,2
16198,捡起来,2
16199,冷冷清清,2
16200,窥,2
16201,乱纷纷,2
16202,痴痴呆呆,2
16203,痴呆,2
16204,痴呆呆,2
16205,声调,2
16206,六月,2
16207,甥,2
16208,收心,2
16209,写写,2
16210,相送,2
16211,羁,2
16212,无穷,2
16213,无根,2
16214,拍案叫绝,2
16215,白卷,2
16216,断了线,2
16217,放放,2
16218,放风筝,2
16219,起子,2
16220,放走,2
16221,飘飘摇摇,2
16222,亏欠,2
16223,匆匆忙忙,2
16224,玉杯,2
16225,文武官,2
16226,通衢,2
16227,交公,2
16228,安王,2
16229,告别,2
16230,终席,2
16231,歇宿,2
16232,关好,2
16233,各户,2
16234,明灯,2
16235,记上,2
16236,反过,2
16237,求情,2
16238,费婆子,2
16239,男客,2
16240,起行,2
16241,虚礼,2
16242,洗面,2
16243,捆上,2
16244,鬼聪明,2
16245,字号,2
16246,清福,2
16247,行至,2
16248,上锁,2
16249,司棋因,2
16250,小命儿,2
16251,顺路来,2
16252,淅淅,2
16253,朱大娘,2
16254,媒婆,2
16255,老王,2
16256,统,2
16257,二千两,2
16258,运出,2
16259,千数,2
16260,千数两,2
16261,腾,2
16262,吓住,2
16263,分成,2
16264,难不倒,2
16265,多灾,2
16266,今年年底,2
16267,偶见,2
16268,四百两,2
16269,庚帖,2
16270,完聚,2
16271,作准,2
16272,酗酒,2
16273,想来想去,2
16274,只能,2
16275,庸,2
16276,国策,2
16277,阐发,2
16278,焦躁,2
16279,腔调,2
16280,心怀,2
16281,邻,2
16282,查访,2
16283,大输,2
16284,争斗,2
16285,相打,2
16286,十多人,2
16287,烧毁,2
16288,偏向,2
16289,花红柳绿,2
16290,促织,2
16291,春意,2
16292,拒绝,2
16293,偷偷摸摸,2
16294,偷摸,2
16295,家法,2
16296,瞒不住,2
16297,衣租食税,2
16298,谗,2
16299,开局,2
16300,咒骂,2
16301,好好先生,2
16302,有神,2
16303,浆,2
16304,受累,2
16305,反问,2
16306,更该,2
16307,近情理,2
16308,暗访,2
16309,话不投机,2
16310,触动,2
16311,笨笨,2
16312,天半,2
16313,盛怒,2
16314,极容易,2
16315,开叫,2
16316,闯进,2
16317,闯进来,2
16318,搜察,2
16319,抄起,2
16320,秉烛,2
16321,害起,2
16322,贼赃,2
16323,三四十个,2
16324,反得,2
16325,可传,2
16326,再犯,2
16327,老张,2
16328,递进,2
16329,小包,2
16330,查收,2
16331,潘又安,2
16332,吐舌头,2
16333,般,2
16334,大半天,2
16335,抄报,2
16336,报上,2
16337,抄没,2
16338,京治,2
16339,取自,2
16340,人之常情,2
16341,怕事,2
16342,送上来,2
16343,大门口,2
16344,银蝶,2
16345,失惊,2
16346,失惊打怪,2
16347,打怪,2
16348,耍笑,2
16349,鹄,2
16350,不知就里,2
16351,大赌,2
16352,抢快,2
16353,醉意,2
16354,赢家,2
16355,一一分,2
16356,风清月朗,2
16357,清韵,2
16358,天将,2
16359,贾珍酒,2
16360,风气,2
16361,明朗,2
16362,怪异,2
16363,平台,2
16364,想当年,2
16365,怕老婆,2
16366,口才,2
16367,奖励,2
16368,欣喜,2
16369,脉理,2
16370,心火,2
16371,二难,2
16372,跑不了,2
16373,凄清,2
16374,小两口,2
16375,小两口儿,2
16376,四十岁,2
16377,天空,2
16378,危坐,2
16379,三儿,2
16380,搭起,2
16381,女弟,2
16382,宋太祖,2
16383,池沿,2
16384,拱,2
16385,拟写,2
16386,上船,2
16387,坐船,2
16388,牵强,2
16389,缀点,2
16390,赏罚,2
16391,谖,2
16392,婺,2
16393,孤洁,2
16394,塘,2
16395,焰,2
16396,无涉,2
16397,翻转,2
16398,罘,2
16399,猿,2
16400,雅趣,2
16401,择席,2
16402,心血,2
16403,抱屈,2
16404,几包,2
16405,膏,2
16406,年代,2
16407,那司棋,2
16408,发话,2
16409,不由分说,2
16410,以至于,2
16411,拿到,2
16412,第一等,2
16413,粗笨,2
16414,管有,2
16415,过眼,2
16416,惹人厌,2
16417,叫上来,2
16418,痛起来,2
16419,坏事,2
16420,肯不肯,2
16421,一个碗,2
16422,灌下,2
16423,身穿,2
16424,抖搂,2
16425,膊,2
16426,夹住,2
16427,撒开,2
16428,虚火,2
16429,上攻,2
16430,衣履,2
16431,上到,2
16432,来世,2
16433,心绪,2
16434,痴公子,2
16435,错误,2
16436,夸奖,2
16437,减省,2
16438,池上,2
16439,伐,2
16440,风流人物,2
16441,黄巾,2
16442,凶信,2
16443,殒身,2
16444,剿灭,2
16445,天兵,2
16446,将军林,2
16447,王后,2
16448,李长吉,2
16449,流利,2
16450,古朴,2
16451,誉,2
16452,尘沙,2
16453,布置,2
16454,猖獗,2
16455,骨髓,2
16456,中林,2
16457,徨,2
16458,酸楚,2
16459,迄今,2
16460,妪,2
16461,蛊,2
16462,犹存,2
16463,神灵,2
16464,上帝,2
16465,苛,2
16466,卫,2
16467,廉,2
16468,驱车,2
16469,慨然,2
16470,睹,2
16471,爰,2
16472,烟云,2
16473,依依不舍,2
16474,四方,2
16475,薛文起,2
16476,大使,2
16477,长篇大论,2
16478,肥马轻裘,2
16479,交道,2
16480,典雅,2
16481,改改,2
16482,瞻顾,2
16483,倏然,2
16484,蓼花,2
16485,苇叶,2
16486,枰,2
16487,一时间,2
16488,时间,2
16489,行商,2
16490,京城,2
16491,舅兄,2
16492,担心,2
16493,安睡,2
16494,秽,2
16495,风雷,2
16496,骄奢,2
16497,夏金桂,2
16498,装起,2
16499,寻隙,2
16500,曲意,2
16501,欺瞒,2
16502,王道士,2
16503,哧哧,2
16504,当得起,2
16505,小舍儿,2
16506,变做,2
16507,精光,2
16508,设计,2
16509,先报,2
16510,劈头,2
16511,叫屈,2
16512,清官,2
16513,肉中刺,2
16514,眼中钉,2
16515,断绝,2
16516,挑灯,2
16517,生平,2
16518,天齐庙,2
16519,贴进,2
16520,贴进来,2
16521,开胃,2
16522,百病,2
16523,贴心,2
16524,一百岁,2
16525,梦想,2
16526,一百回,2
16527,百回,2
16528,憋着,2
16529,连香菱,2
16530,心知,2
16531,挑起,2
16532,挑起来,2
16533,垂下去,2
16534,拿上来,2
16535,上边,2
16536,沉下去,2
16537,钓丝,2
16538,成全,2
16539,潘三保,2
16540,三保,2
16541,老佛爷,2
16542,败露,2
16543,一男一女,2
16544,绣花针,2
16545,花针,2
16546,情事,2
16547,上变,2
16548,恨怨,2
16549,不因,2
16550,不济事,2
16551,老辈,2
16552,发比,2
16553,八股文,2
16554,稍稍,2
16555,贪玩,2
16556,有名无实,2
16557,薄薄,2
16558,薄薄儿,2
16559,恶梦,2
16560,学回,2
16561,死而复生,2
16562,闷得,2
16563,立言,2
16564,凑搭,2
16565,入耳,2
16566,神明,2
16567,脊梁,2
16568,懒惰,2
16569,后生可畏,2
16570,讲来,2
16571,忽忽,2
16572,遁世,2
16573,时侯,2
16574,提香,2
16575,风压,2
16576,欺负人,2
16577,白道,2
16578,堆上,2
16579,可图,2
16580,续弦,2
16581,干急,2
16582,求去,2
16583,小刀,2
16584,撞破,2
16585,湿透,2
16586,缝里,2
16587,透进,2
16588,双眸,2
16589,着想,2
16590,玉里,2
16591,改说,2
16592,悲惨,2
16593,勿,2
16594,题诗,2
16595,直爽,2
16596,一个千,2
16597,辱骂,2
16598,有雪雁,2
16599,风邪,2
16600,疑为,2
16601,实因,2
16602,病原,2
16603,血色,2
16604,零用,2
16605,门头,2
16606,撑不住,2
16607,几万,2
16608,金银财宝,2
16609,财宝,2
16610,追问,2
16611,满城,2
16612,探问,2
16613,辰巳,2
16614,酉时,2
16615,接应,2
16616,登车,2
16617,贾珍贾,2
16618,虱子,2
16619,势力,2
16620,喊冤,2
16621,金桂房,2
16622,修得,2
16623,徐行,2
16624,美意,2
16625,混得,2
16626,放学,2
16627,有志,2
16628,不成话,2
16629,艺,2
16630,讲到,2
16631,归于,2
16632,拿捏,2
16633,散学,2
16634,作活,2
16635,百里挑一,2
16636,不差什么,2
16637,巨万,2
16638,肯作,2
16639,一会儿开,2
16640,配齐,2
16641,几辈,2
16642,几辈子,2
16643,弄倒,2
16644,惊心,2
16645,学政,2
16646,之至,2
16647,保举,2
16648,谢王爷,2
16649,咕嘟,2
16650,叔父,2
16651,不正,2
16652,看报,2
16653,下界,2
16654,点化,2
16655,定罪,2
16656,准信,2
16657,城南,2
16658,呈子,2
16659,吃苦,2
16660,见证,2
16661,伸冤,2
16662,仇隙,2
16663,斗殴,2
16664,用刑,2
16665,自认,2
16666,提及,2
16667,头破血出,2
16668,佣工,2
16669,砸死,2
16670,泼去,2
16671,薛蟠实,2
16672,禀报,2
16673,画供,2
16674,痛苦,2
16675,陈说,2
16676,讹言,2
16677,卯月,2
16678,横祸,2
16679,结案,2
16680,冷静,2
16681,打断,2
16682,天书,2
16683,翻书,2
16684,手法,2
16685,静心,2
16686,养性,2
16687,手生,2
16688,眼皮儿,2
16689,低下头去,2
16690,徽,2
16691,原以,2
16692,指法,2
16693,猗,2
16694,日暮,2
16695,无休,2
16696,恻,2
16697,清秋,2
16698,四章,2
16699,北堂,2
16700,无以,2
16701,咻,2
16702,炳,2
16703,寄人篱下,2
16704,篱下,2
16705,接时,2
16706,两方,2
16707,包衣,2
16708,失意,2
16709,皮衣,2
16710,阿,2
16711,防备,2
16712,理理,2
16713,送出门,2
16714,弯弯,2
16715,弯弯曲曲,2
16716,弯曲,2
16717,曲曲,2
16718,忧思,2
16719,素心,2
16720,失色,2
16721,金石,2
16722,疑团,2
16723,禅门,2
16724,屏息,2
16725,出到,2
16726,很凉,2
16727,鲜红,2
16728,阴气,2
16729,边带,2
16730,有碍,2
16731,性灵,2
16732,棋谱,2
16733,三十六,2
16734,八十一,2
16735,八十一岁,2
16736,东府珍,2
16737,藏香,2
16738,双陆,2
16739,贾母刚,2
16740,点过,2
16741,房产,2
16742,快滚,2
16743,养得,2
16744,恩惠,2
16745,用得着,2
16746,压不住,2
16747,算不了,2
16748,算不了什,2
16749,四五天,2
16750,吹灭,2
16751,白沫,2
16752,救醒,2
16753,胆怯,2
16754,不兴,2
16755,滚出,2
16756,滚出去,2
16757,中旬,2
16758,拾一,2
16759,用工夫,2
16760,大干,2
16761,桌儿,2
16762,静地,2
16763,馆里,2
16764,青女,2
16765,玉树,2
16766,弹出,2
16767,寿考,2
16768,够不着,2
16769,音响,2
16770,歪歪,2
16771,摇摇手,2
16772,渐减,2
16773,挑逗,2
16774,竟至,2
16775,天内,2
16776,侍书雪,2
16777,实无,2
16778,后辈,2
16779,邢丫头,2
16780,贾府园,2
16781,出出,2
16782,始而,2
16783,脱衣,2
16784,似是,2
16785,邪僻,2
16786,酒壶,2
16787,稳便,2
16788,出乱子,2
16789,知机,2
16790,火速,2
16791,今冬,2
16792,金身,2
16793,聚散,2
16794,家宝,2
16795,禅语,2
16796,象生,2
16797,王大人,2
16798,孝经,2
16799,后妃,2
16800,贤能,2
16801,第二次,2
16802,管下,2
16803,詹光笑,2
16804,几着,2
16805,下完,2
16806,六十个,2
16807,汉宫,2
16808,汉宫春,2
16809,宫春晓,2
16810,第一层,2
16811,据说,2
16812,小珠,2
16813,滴溜,2
16814,门面,2
16815,道长,2
16816,浙江,2
16817,吹嘘,2
16818,三级,2
16819,灵气,2
16820,刁钻刻薄,2
16821,喜庆,2
16822,车夫,2
16823,混打,2
16824,两辆,2
16825,两辆车,2
16826,赶车,2
16827,掌班,2
16828,秦小官,2
16829,小官,2
16830,谓之,2
16831,糊口,2
16832,顿首,2
16833,浓眉,2
16834,白纸,2
16835,头昏,2
16836,亲知,2
16837,下班,2
16838,查核,2
16839,本家儿,2
16840,虚拟,2
16841,浇灌,2
16842,掠,2
16843,退后,2
16844,李家姐妹,2
16845,开得,2
16846,妖孽,2
16847,怪不怪,2
16848,天菩萨,2
16849,材料,2
16850,砸破,2
16851,毁坏,2
16852,铁嘴,2
16853,测字,2
16854,找遍,2
16855,道林,2
16856,破例,2
16857,非比,2
16858,趱,2
16859,宽缓,2
16860,吓坏,2
16861,衣饰,2
16862,十二月,2
16863,谥,2
16864,低声下气,2
16865,哀告,2
16866,赏格,2
16867,除邪,2
16868,定心,2
16869,待理不理,2
16870,恍然,2
16871,恍然大悟,2
16872,抱头鼠窜,2
16873,鼠窜,2
16874,目光,2
16875,说服,2
16876,排起,2
16877,掉包,2
16878,蠢货,2
16879,那身,2
16880,玉宝钗,2
16881,天心,2
16882,羊酒,2
16883,数声,2
16884,自料,2
16885,闭上眼,2
16886,狠毒,2
16887,新屋,2
16888,王奶妈,2
16889,傧相,2
16890,喜娘,2
16891,傻气,2
16892,沉睡,2
16893,骄纵,2
16894,晚辈,2
16895,言贾政,2
16896,魂归,2
16897,吉期,2
16898,真死,2
16899,淫欲,2
16900,决绝,2
16901,刻到,2
16902,沉静,2
16903,桂圆汤,2
16904,回光返照,2
16905,返照,2
16906,甚远,2
16907,风动,2
16908,愁苦,2
16909,扶宝玉,2
16910,郁闷,2
16911,新姑爷,2
16912,外孙子,2
16913,理上,2
16914,素仰,2
16915,无暇,2
16916,吏治,2
16917,钻营,2
16918,签押,2
16919,长随,2
16920,一个多,2
16921,一个多月,2
16922,捞本,2
16923,周二,2
16924,告示,2
16925,行文,2
16926,三代,2
16927,俸,2
16928,活口,2
16929,法令,2
16930,上和下睦,2
16931,贴补,2
16932,相信,2
16933,同乡,2
16934,席间,2
16935,三身,2
16936,店主,2
16937,殒命,2
16938,张三之,2
16939,腰眼,2
16940,即将,2
16941,加害,2
16942,想进,2
16943,公分,2
16944,待发,2
16945,酒气,2
16946,另打主意,2
16947,打主意,2
16948,两颊,2
16949,神魂飘荡,2
16950,啊呀,2
16951,假惺惺,2
16952,理去,2
16953,惊异,2
16954,唰,2
16955,肉跳心惊,2
16956,基,2
16957,转回,2
16958,犹如,2
16959,内庭,2
16960,私带,2
16961,神枪,2
16962,刺史,2
16963,节妇,2
16964,几下子,2
16965,哗,2
16966,没来由,2
16967,几层,2
16968,升天,2
16969,讼,2
16970,满目,2
16971,谵语,2
16972,排定,2
16973,过重,2
16974,忧患,2
16975,救星,2
16976,由是,2
16977,拮据,2
16978,红胡子,2
16979,坛场,2
16980,上清,2
16981,大法,2
16982,将旗,2
16983,旗幡,2
16984,令牌,2
16985,征粮,2
16986,虐,2
16987,招摇撞骗,2
16988,撞骗,2
16989,赤脚,2
16990,起不来,2
16991,不择,2
16992,讹人,2
16993,平正,2
16994,家破人亡,2
16995,碣,2
16996,颖悟,2
16997,尘凡,2
16998,颜,2
16999,愚蒙,2
17000,尚有何,2
17001,心疑,2
17002,风浪,2
17003,过渡,2
17004,飞奔而来,2
17005,法纪,2
17006,那荣府,2
17007,负义,2
17008,小张,2
17009,烧死,2
17010,瓢儿,2
17011,吓死人,2
17012,先祖,2
17013,令兄,2
17014,降调,2
17015,喜形于色,2
17016,后进,2
17017,女仆,2
17018,一路上,2
17019,成仙,2
17020,把守,2
17021,接旨,2
17022,忝,2
17023,打混,2
17024,登账,2
17025,房地契,2
17026,地契,2
17027,提取,2
17028,感激涕零,2
17029,隐匿,2
17030,气短,2
17031,神昏,2
17032,镀金,2
17033,八张,2
17034,筒子,2
17035,六十三,2
17036,十度,2
17037,三十卷,2
17038,七千,2
17039,乱糟,2
17040,乱糟糟,2
17041,奄奄一息,2
17042,轸,2
17043,放进来,2
17044,包揽词讼,2
17045,词讼,2
17046,悯,2
17047,释放,2
17048,谢天恩,2
17049,并到,2
17050,支撑,2
17051,史参奏,2
17052,财产,2
17053,东庄,2
17054,宽免,2
17055,风流云散,2
17056,追思,2
17057,悲啼,2
17058,文才,2
17059,省地,2
17060,支架,2
17061,清理,2
17062,恃强凌弱,2
17063,强凌弱,2
17064,强索,2
17065,叩首,2
17066,忱,2
17067,惶,2
17068,生离死别,2
17069,当家立计,2
17070,宽怀,2
17071,守住,2
17072,腮红,2
17073,平儿恐,2
17074,尽心竭力,2
17075,叫苦连天,2
17076,执手,2
17077,喜钱,2
17078,装穷,2
17079,驱逐,2
17080,很苦,2
17081,六亲,2
17082,燥,2
17083,邪魔外祟,2
17084,安眠,2
17085,太始,2
17086,始终,2
17087,睡睡,2
17088,六十多,2
17089,六十多年,2
17090,十多年,2
17091,堵住,2
17092,享尽,2
17093,离开,2
17094,贾琏复,2
17095,牙关,2
17096,体体面面,2
17097,祭扫,2
17098,多难,2
17099,掣肘,2
17100,肯用,2
17101,凑手,2
17102,死法,2
17103,侵入,2
17104,拴上,2
17105,喜怒哀乐,2
17106,哀乐,2
17107,算得了,2
17108,极尽,2
17109,干老子,2
17110,不熟,2
17111,下海,2
17112,无拘,2
17113,无拘无束,2
17114,甄家荐,2
17115,打倒,2
17116,打仗,2
17117,查起,2
17118,通同一气,2
17119,大劫,2
17120,没亮,2
17121,溜出,2
17122,相思病,2
17123,出关,2
17124,里坡,2
17125,被盗,2
17126,被包,2
17127,付给,2
17128,不屈,2
17129,刀鞘,2
17130,紧闭,2
17131,煤气,2
17132,不知去向,2
17133,家主,2
17134,求神,2
17135,千顷,2
17136,凡心,2
17137,遭此,2
17138,缥渺,2
17139,接续,2
17140,房檐,2
17141,未卜先知,2
17142,没请,2
17143,大办,2
17144,苛刻,2
17145,不周到,2
17146,瞧得起,2
17147,仁心,2
17148,时明,2
17149,清查,2
17150,靠不住,2
17151,仁德,2
17152,寇,2
17153,安国,2
17154,安抚,2
17155,圣心,2
17156,字数,2
17157,尚需,2
17158,甚为,2
17159,苦难,2
17160,观世音,2
17161,观世音菩,2
17162,大慈大悲,2
17163,能成佛,2
17164,荣华富贵,2
17165,华富,2
17166,甄少爷,2
17167,锦衣玉食,2
17168,玉食,2
17169,见解,2
17170,超凡,2
17171,酬应,2
17172,大人先生,2
17173,养育,2
17174,惊惶无措,2
17175,救治,2
17176,野地,2
17177,旷野,2
17178,福善祸淫,2
17179,一转眼,2
17180,历劫,2
17181,归真,2
17182,斩断,2
17183,变作,2
17184,作鬼,2
17185,既能,2
17186,苏来,2
17187,安葬,2
17188,入场,2
17189,露相,2
17190,太空,2
17191,帝道,2
17192,小神,2
17193,红门,2
17194,朝里,2
17195,人主,2
17196,不顾前后,2
17197,班师,2
17198,假话,2
17199,足食,2
17200,离群,2
17201,根柢,2
17202,巢,2
17203,天恩祖,2
17204,凡间,2
17205,火焚,2
17206,佛性,2
17207,尘心,2
17208,不祥之兆,2
17209,柔肠,2
17210,迷走,2
17211,贾兰中,2
17212,一百三十名,2
17213,三十名,2
17214,十名,2
17215,爵位,2
17216,朝臣,2
17217,赦罪,2
17218,上岸,2
17219,村居,2
17220,昌盛,2
17221,传述,2
17222,贵子,2
17223,兰桂齐芳,2
17224,还原,2
17225,开卷,1
17226,第一回,1
17227,隐去,1
17228,风尘碌碌,1
17229,一事无成,1
17230,裙钗,1
17231,锦衣纨裤,1
17232,饫甘餍肥,1
17233,一集,1
17234,负罪,1
17235,泯灭,1
17236,椽,1
17237,绳床瓦灶,1
17238,襟怀,1
17239,晨风,1
17240,本旨,1
17241,二丈,1
17242,二十四丈,1
17243,四丈,1
17244,五百块,1
17245,百块,1
17246,可大可小,1
17247,入选,1
17248,丰神,1
17249,迥异,1
17250,莹,1
17251,明洁,1
17252,缩成,1
17253,昌明,1
17254,隆盛,1
17255,走一遭,1
17256,且莫,1
17257,投向,1
17258,求仙,1
17259,琐事,1
17260,苍天,1
17261,许年,1
17262,身后事,1
17263,可考,1
17264,奇书,1
17265,假借,1
17266,讪谤,1
17267,贬,1
17268,凶恶,1
17269,淫秽,1
17270,满篇,1
17271,千部,1
17272,千部一腔,1
17273,千人一面,1
17274,情诗,1
17275,之乎者也,1
17276,自相矛盾,1
17277,世亲,1
17278,亲见亲闻,1
17279,亲闻,1
17280,事迹,1
17281,歪诗,1
17282,喷饭,1
17283,离合悲欢,1
17284,兴衰,1
17285,际遇,1
17286,按迹循踪,1
17287,加穿,1
17288,翻新,1
17289,寿命,1
17290,谋虚逐妄,1
17291,检阅,1
17292,大旨,1
17293,谈情,1
17294,实录,1
17295,绝无,1
17296,诲淫,1
17297,空见,1
17298,悟空,1
17299,改名,1
17300,鲁,1
17301,十载,1
17302,增删,1
17303,目录,1
17304,章回,1
17305,荒唐言,1
17306,辛酸泪,1
17307,石上书,1
17308,明礼义,1
17309,礼义,1
17310,望族,1
17311,年过半百,1
17312,炎夏,1
17313,历经,1
17314,历世,1
17315,逍遥自在,1
17316,地精,1
17317,滋养,1
17318,幻化,1
17319,仅仅,1
17320,雨露,1
17321,带到,1
17322,子宫,1
17323,落尘,1
17324,罕闻,1
17325,洞悉,1
17326,洗耳,1
17327,谛听,1
17328,沉沦,1
17329,二仙,1
17330,跳出火坑,1
17331,泄露,1
17332,一面之缘,1
17333,大石牌,1
17334,霹雳,1
17335,山崩地陷,1
17336,烈日,1
17337,烈日炎炎,1
17338,炎炎,1
17339,粉装玉琢,1
17340,向士隐,1
17341,烟消火灭,1
17342,劫后,1
17343,邙山,1
17344,销号,1
17345,京求,1
17346,求取,1
17347,蹇,1
17348,卖文,1
17349,伫,1
17350,市上,1
17351,严老爷,1
17352,奉陪,1
17353,稍候,1
17354,仪容,1
17355,眉目清秀,1
17356,剑眉,1
17357,雄壮,1
17358,褴褛,1
17359,童进来,1
17360,中秋佳节,1
17361,回眸,1
17362,蟾光,1
17363,首对,1
17364,椟,1
17365,抱负不凡,1
17366,旅,1
17367,不无,1
17368,小酌,1
17369,书院,1
17370,美酒佳肴,1
17371,觥,1
17372,户户,1
17373,飞彩,1
17374,酒意,1
17375,时逢,1
17376,久居,1
17377,久居人下,1
17378,飞腾,1
17379,狂言,1
17380,充数,1
17381,神京,1
17382,卖字,1
17383,撰文,1
17384,义利,1
17385,所学,1
17386,自代,1
17387,雄飞,1
17388,高举,1
17389,晤,1
17390,红日三竿,1
17391,谒,1
17392,寄身,1
17393,转达,1
17394,黑道,1
17395,事理,1
17396,倏忽,1
17397,社火,1
17398,逃往,1
17399,构,1
17400,劫数,1
17401,牵五挂四,1
17402,火焰,1
17403,火焰山,1
17404,的士,1
17405,水旱,1
17406,蜂起,1
17407,剿捕,1
17408,殷实,1
17409,狼狈,1
17410,田产,1
17411,破屋,1
17412,稼穑,1
17413,现成话,1
17414,人前人后,1
17415,好吃懒做,1
17416,贫病,1
17417,贫病交攻,1
17418,挣到,1
17419,疯狂,1
17420,落拓,1
17421,麻鞋,1
17422,鹑衣,1
17423,荒冢,1
17424,终朝,1
17425,顺子,1
17426,这歌,1
17427,解出,1
17428,解出来,1
17429,陋室,1
17430,芴,1
17431,舞场,1
17432,蛛丝,1
17433,结满,1
17434,流落,1
17435,烟花,1
17436,烟花巷,1
17437,花巷,1
17438,纱帽,1
17439,登场,1
17440,跛,1
17441,拍掌,1
17442,封氏闻,1
17443,一对一,1
17444,正待,1
17445,祸事,1
17446,贾夫人,1
17447,演说,1
17448,公差,1
17449,小婿,1
17450,面禀,1
17451,新任,1
17452,寻回,1
17453,锦缎,1
17454,答谢,1
17455,密书,1
17456,一力,1
17457,当夜,1
17458,衙内,1
17459,赠与,1
17460,生一子,1
17461,赴京,1
17462,外班,1
17463,侮,1
17464,侧目,1
17465,侧目而视,1
17466,貌似,1
17467,狡猾,1
17468,交结,1
17469,颜大怒,1
17470,胜迹,1
17471,淮扬,1
17472,闻得今,1
17473,前科,1
17474,探花,1
17475,苏人,1
17476,五世,1
17477,三世,1
17478,几门,1
17479,一个三岁,1
17480,掌上明珠,1
17481,上明,1
17482,旅店,1
17483,居停,1
17484,之所以,1
17485,息肩,1
17486,生年,1
17487,幼小,1
17488,多寡,1
17489,分省,1
17490,载有,1
17491,守丧,1
17492,闲居,1
17493,每当,1
17494,晴和,1
17495,山环水,1
17496,环水,1
17497,茂林,1
17498,茂林修竹,1
17499,倾颓,1
17500,山大,1
17501,刹,1
17502,筋斗,1
17503,龙钟,1
17504,煮粥,1
17505,那老僧,1
17506,野趣,1
17507,中古,1
17508,易姓,1
17509,号子,1
17510,投契,1
17511,老兄,1
17512,年岁,1
17513,半时,1
17514,何谈,1
17515,东汉,1
17516,支派,1
17517,国一,1
17518,石头城,1
17519,头城,1
17520,大半条,1
17521,围墙,1
17522,峥嵘,1
17523,花园里,1
17524,蔚,1
17525,洇,1
17526,兴盛,1
17527,底气,1
17528,日盛,1
17529,筹谋,1
17530,内囊,1
17531,钟鸣鼎食,1
17532,诗礼之家,1
17533,教子有方,1
17534,汞,1
17535,官倒,1
17536,中城,1
17537,羼,1
17538,家史,1
17539,正直,1
17540,科甲,1
17541,额外主事,1
17542,主事,1
17543,进学,1
17544,第二胎,1
17545,二胎,1
17546,胞胎,1
17547,志向,1
17548,抓来,1
17549,玩弄,1
17550,酒色,1
17551,酒色之徒,1
17552,老前辈,1
17553,前辈,1
17554,致知,1
17555,重大,1
17556,董,1
17557,蚩,1
17558,共工,1
17559,桀,1
17560,纣,1
17561,始皇,1
17562,王莽,1
17563,曹操,1
17564,桓,1
17565,秦桧,1
17566,修治,1
17567,扰乱,1
17568,柞,1
17569,草野,1
17570,比比,1
17571,比比皆是,1
17572,秀气,1
17573,四海,1
17574,光天化日,1
17575,充塞,1
17576,深沟,1
17577,动感,1
17578,半缕,1
17579,水雷,1
17580,雷电,1
17581,地中,1
17582,搏击,1
17583,假使,1
