,词语,数量
794,棋,86
795,老人,86
796,上面,85
797,果,85
798,先生,85
799,真是,85
800,歇,85
801,老祖,85
802,一齐,85
803,想到,85
804,那人,85
805,隐,84
806,不免,84
807,不及,84
808,道士,84
809,断,84
810,老祖宗,84
811,别说,84
812,怡红,84
813,湘莲,84
814,一一,83
815,每日,83
816,书房,83
817,屋子,83
818,笑话,83
819,老人家,83
820,着急,83
821,放在,82
822,太爷,82
823,轿,82
824,竟是,82
825,报,82
826,照,82
827,横竖,82
828,潇湘,82
829,言,81
830,养,81
831,可怜,81
832,两日,81
833,他家,81
834,遭,81
835,料理,81
836,迟,81
837,交给,81
838,叔叔,81
839,宝姐姐,81
840,孝家,81
841,按,80
842,不但,80
843,推,80
844,风,80
845,灯,80
846,隔,80
847,记得,80
848,翠,80
849,了不得,80
850,半天,80
851,题,79
852,热闹,79
853,那日,79
854,扶,79
855,一张,79
856,头里,79
857,犹,78
858,叹道,78
859,今年,78
860,馆,78
861,不信,78
862,没人,78
863,肯,78
864,端,78
865,躺,78
866,却说,77
867,由,77
868,一两,77
869,不到,77
870,贵,77
871,大事,77
872,男人,77
873,慢慢,77
874,亲自,77
875,没见,77
876,工夫,77
877,重,77
878,望,76
879,递,76
880,虽是,76
881,留下,76
882,打量,76
883,偷,76
884,兮,76
885,索性,76
886,高,75
887,旧,75
888,一概,75
889,不了,75
890,不象,75
891,岫,75
892,奇,74
893,直,74
894,说完,74
895,不多,74
896,神,74
897,放下,74
898,车,74
899,下人,74
900,只当,74
901,一定,74
902,商量,74
903,罚,74
904,怡红院,74
905,灵,73
906,所有,73
907,几,73
908,身,73
909,强,73
910,花儿,73
911,错,73
912,要说,73
913,委屈,73
914,嘱咐,73
915,炕上,73
916,衣服,73
917,两三,73
918,太监,73
919,改,72
920,谢,72
921,上下,72
922,不怕,72
923,瞅,72
924,接着,72
925,凭,72
926,恐怕,72
927,当日,71
928,从此,71
929,辞,71
930,来见,71
931,遣,71
932,汤,71
933,晚,71
934,离,71
935,点儿,71
936,径,71
937,跪下,71
938,因为,71
939,元,71
940,挂,70
941,现,70
942,马,70
943,也好,70
944,几日,70
945,爷们,70
946,好意,70
947,就要,70
948,头上,69
949,摆,69
950,猜,69
951,帘,69
952,掷,69
953,一杯,69
954,须,68
955,士,68
956,嫌,68
957,抱怨,68
958,大人,68
959,啊,68
960,何苦,68
961,床上,68
962,干净,68
963,下去,68
964,觉得,67
965,第二,67
966,解,67
967,仙,67
968,吃酒,67
969,看看,67
970,认,67
971,姊妹,67
972,送来,67
973,旁边,67
974,仗,67
975,一早,67
976,大老爷,67
977,燕,67
978,假,66
979,醒,66
980,再说,66
981,大哥,66
982,一阵,66
983,早起,66
984,一顿,66
985,赶,66
986,里间,66
987,真真,66
988,回到,66
989,饶,66
990,引,65
991,满,65
992,口,65
993,十两,65
994,空,65
995,席,65
996,小姐,65
997,一位,65
998,一辈,65
999,穿着,65
1000,不放,65
1001,代,65
1002,道理,65
1003,破,64
1004,旁,64
1005,色,64
1006,清,64
1007,讨,64
1008,无奈,64
1009,两句,64
1010,设,64
1011,碗,64
1012,念书,64
1013,不中,64
1014,拿来,64
1015,门口,64
1016,嗳,64
1017,小子,64
1018,绢子,64
1019,许,64
1020,哟,64
1021,菱,64
1022,供,63
1023,一把,63
1024,饮,63
1025,抱,63
1026,烧,63
1027,远,63
1028,暂且,63
1029,时常,63
1030,诸,63
1031,绣,63
1032,佛,63
1033,跪,63
1034,中用,63
1035,姑子,63
1036,啐,63
1037,这事,63
1038,记,62
1039,况,62
1040,非,62
1041,乐,62
1042,叹,62
1043,唱,62
1044,帮,62
1045,可惜,62
1046,嘴里,62
1047,规矩,62
1048,仍旧,62
1049,挑,62
1050,不该,62
1051,眼睛,62
1052,老娘,62
1053,庵,62
1054,得罪,62
1055,门前,61
1056,大哭,61
1057,当下,61
1058,窗,61
1059,未免,61
1060,剩,61
1061,名字,61
1062,不在话下,61
1063,转,61
1064,年轻,61
1065,藕,61
1066,跳,61
1067,果子,61
1068,照应,61
1069,热,61
1070,北静王,61
1071,递给,61
1072,短,60
1073,治,60
1074,何必,60
1075,姓,60
1076,失,60
1077,苦,60
1078,闲,60
1079,渐渐,60
1080,亏,60
1081,墨,60
1082,悲,60
1083,红了脸,60
1084,小儿,60
1085,必定,60
1086,睡着,60
1087,辈子,60
1088,女孩子,60
1089,细,59
1090,据,59
1091,纸,59
1092,自在,59
1093,眼泪,59
1094,面,59
1095,芹,59
1096,读书,59
1097,伤,59
1098,公子,59
1099,美,59
1100,未了,59
1101,上夜,59
1102,躲,59
1103,老道,59
1104,难为,59
1105,活,59
1106,地里,59
1107,冯紫英,59
1108,娘儿,59
1109,菊,59
1110,天下,58
1111,兼,58
1112,珠,58
1113,何不,58
1114,院中,58
1115,那丫头,58
1116,迎,58
1117,联,58
1118,脚,58
1119,不自,58
1120,彩云,58
1121,呀,58
1122,催,58
1123,装,58
1124,没法,58
1125,够,58
1126,柳,57
1127,闷,57
1128,尚,57
1129,不尽,57
1130,一半,57
1131,惊,57
1132,打点,57
1133,梳洗,57
1134,十个,57
1135,宝兄弟,57
1136,利害,57
1137,那么,57
1138,造化,57
1139,凤丫头,57
1140,勇,57
1141,但是,56
1142,指着,56
1143,虽有,56
1144,不会,56
1145,唤,56
1146,忙忙,56
1147,烦,56
1148,歇歇,56
1149,晚饭,56
1150,胡说,56
1151,一则,56
1152,未必,56
1153,琥珀,56
1154,空儿,56
1155,例,56
1156,本来,56
1157,磕头,56
1158,一百,56
1159,柳家,56
1160,后面,55
1161,近日,55
1162,鬼,55
1163,上有,55
1164,拜,55
1165,虽说,55
1166,样子,55
1167,只顾,55
1168,邢,55
1169,卖,55
1170,房子,55
1171,任,55
1172,不中用,55
1173,不吃,55
1174,撂,55
1175,好意思,55
1176,讲,55
1177,大观,55
1178,鲍,55
1179,思,54
1180,愁,54
1181,每,54
1182,妥当,54
1183,衙门,54
1184,落,54
1185,退出,54
1186,厅,54
1187,或者,54
1188,相干,54
1189,咧,54
1190,两天,54
1191,各人,54
1192,心内,54
1193,回身,54
1194,贾政听,54
1195,实,53
1196,好处,53
1197,抄,53
1198,风流,53
1199,弟,53
1200,寺,53
1201,准,53
1202,再来,53
1203,好容易,53
1204,光,53
1205,俗语,53
1206,二门,53
1207,一点儿,53
1208,轻轻,53
1209,槛,53
1210,低头,53
1211,有趣,52
1212,尚未,52
1213,服,52
1214,五,52
1215,升,52
1216,敬,52
1217,我心,52
1218,三四,52
1219,料,52
1220,叫做,52
1221,舅舅,52
1222,园内,52
1223,露,52
1224,走进,52
1225,碰,52
1226,家子,52
1227,从小,52
1228,故意,52
1229,一辈子,52
1230,王二夫人,52
1231,然,51
1232,近,51
1233,一二,51
1234,亲友,51
1235,杯,51
1236,斟,51
1237,抬,51
1238,丰,51
1239,门子,51
1240,守,51
1241,查,51
1242,二叔,51
1243,说不出,51
1244,未知,51
1245,歪,51
1246,好几,51
1247,大观园,51
1248,答言,51
1249,两口,51
1250,巧姐儿,51
1251,文,50
1252,相,50
1253,洗,50
1254,一家,50
1255,伸手,50
1256,衣,50
1257,一条,50
1258,半,50
1259,底,50
1260,你好,50
1261,怎么着,50
1262,一应,50
1263,福,50
1264,悄,50
1265,早晚,50
1266,搁,50
1267,口气,50
1268,诧异,50
1269,韵,50
1270,岂知,50
1271,第一,49
1272,富贵,49
1273,不禁,49
1274,备,49
1275,怨,49
1276,既是,49
1277,朝,49
1278,大小,49
1279,姑妈,49
1280,太和,49
1281,立,49
1282,贾母因,49
1283,间,49
